Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
0.0000	0.0000	1.0987	13.2110	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0593	
0.0290	0.0000	1.0987	13.2113	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0407	
0.0780	0.0000	1.0987	13.2077	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0407	
0.1290	0.0000	1.0987	13.2091	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0519	
0.1780	0.0000	1.0987	13.2093	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0593	
0.2280	0.0000	1.0987	13.2112	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0593	
0.2790	0.0000	1.0359	13.2113	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0556	
0.3290	0.0000	1.0359	13.2117	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0556	
0.3780	0.0000	1.0359	13.2098	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0444	
0.4280	0.0000	1.0987	13.2093	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0444	
0.4790	0.0000	1.0987	13.2077	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0370	
0.5280	0.0000	1.0987	13.2066	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0370	
0.5790	0.0000	1.0359	13.2025	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0222	
0.6280	0.0000	1.0987	13.2002	13.3459	0.0000	3.3184	0.0000	-888.7319	-0.0500	-0.0037	
0.6780	0.0000	1.0987	13.1936	13.3459	0.0000	3.3184	0.0000	-888.7319	-0.0500	-0.0037	
0.7280	0.0000	1.0359	13.1897	13.3459	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0037	
0.7790	0.0000	1.0359	13.1857	13.3459	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0111	
0.8280	0.0000	1.0359	13.1836	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0111	
0.8790	0.0000	1.0987	13.1809	13.3459	0.0000	3.2579	0.0000	-890.9572	-0.0500	-0.0148	
0.9280	0.0000	1.0987	13.1779	13.3459	0.0000	3.2579	0.0000	-890.9572	-0.0500	-0.0148	
0.9790	0.0000	1.0359	13.1766	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0222	
1.0280	0.0000	0.9732	13.1792	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0519	
1.0790	0.0000	0.9732	13.1794	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0519	
1.1290	0.0000	1.0359	13.1781	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0444	
1.1780	0.0000	1.0359	13.1776	13.2258	0.0000	3.2579	0.0000	-890.9572	-0.0500	-0.0630	
1.2290	0.0000	1.0359	13.1815	13.2258	0.0000	3.2579	0.0000	-890.9572	-0.0500	-0.0630	
1.2790	0.0000	1.0987	13.1825	13.2858	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0630	
1.3290	0.0000	1.0987	13.1836	13.2858	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0630	
1.3780	0.0000	1.0987	13.1888	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0815	
1.4290	0.0000	1.0359	13.1913	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0815	
1.4790	0.0000	1.0359	13.1940	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0815	
1.5290	0.0000	1.0359	13.1967	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0815	
1.5790	0.0000	1.0987	13.1993	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0815	
1.6290	0.0000	1.0359	13.2013	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0778	
1.6780	0.0000	1.0359	13.2037	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0778	
1.7280	0.0000	1.0359	13.2016	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0556	
1.7780	0.0000	1.0359	13.2021	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0667	
1.8290	0.0000	1.0987	13.2051	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0667	
1.8790	0.0000	1.0359	13.2045	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0556	
1.9280	0.0000	1.0359	13.2050	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0556	
1.9790	0.0000	1.0359	13.2022	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0407	
2.0290	0.0000	1.0987	13.2027	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0481	
2.0790	0.0000	1.0987	13.2025	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0481	
2.1280	0.0000	1.0359	13.1994	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
2.1780	0.0000	1.0359	13.1980	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.2280	0.0000	1.0359	13.1923	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.2790	0.0000	1.0987	13.1893	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.3290	0.0000	1.0987	13.1864	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
2.3790	0.0000	1.0987	13.1860	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
2.4280	0.0000	1.0987	13.1881	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0481	
